Date,Open,High,Low,Close,Adj Close,Volume
2021-03-09,608.0,633.6900024414062,595.2100219726562,631.4299926757812,631.4299926757812,17494942
2021-03-09,631.1699829101562,644.760009765625,623.3499755859375,643.64501953125,643.64501953125,8724234
2021-03-09,643.64501953125,648.0,638.5,644.1580810546875,644.1580810546875,6490060
2021-03-09,644.3599853515625,672.9177856445312,643.489990234375,668.6699829101562,668.6699829101562,10135612
2021-03-09,668.8900146484375,678.0900268554688,657.4000244140625,660.8800048828125,660.8800048828125,10244475
2021-03-09,660.8171997070312,674.9099731445312,660.8171997070312,672.1199951171875,672.1199951171875,6768417
2021-03-09,672.1799926757812,675.22998046875,664.0,673.5900268554688,673.5900268554688,5081637
2021-03-10,700.2999877929688,717.8499755859375,677.7200927734375,678.2999877929688,678.2999877929688,22295442
2021-03-10,678.4968872070312,692.989990234375,670.0,684.6599731445312,684.6599731445312,10688708
2021-03-10,684.7550048828125,686.6599731445312,664.2999877929688,664.767822265625,664.767822265625,5413487
2021-03-10,664.2999877929688,678.7999877929688,655.0599975585938,671.2680053710938,671.2680053710938,6968648
2021-03-10,671.489990234375,677.0,658.1199951171875,673.6325073242188,673.6325073242188,6132058
2021-03-10,673.9199829101562,683.989990234375,665.0,667.2598876953125,667.2598876953125,5338891
2021-03-10,667.1821899414062,671.4998779296875,664.6400146484375,668.27001953125,668.27001953125,2516742
2021-03-11,694.0,697.7756958007812,677.1799926757812,681.0499877929688,681.0499877929688,11295394
2021-03-11,680.7276000976562,697.3485717773438,680.3599853515625,693.1599731445312,693.1599731445312,5998703
2021-03-11,693.47998046875,696.6900024414062,685.2100219726562,689.989990234375,689.989990234375,4033421
2021-03-11,690.1300048828125,699.5,687.6820068359375,694.6500244140625,694.6500244140625,3588667
2021-03-11,694.6500244140625,695.969970703125,689.5800170898438,692.989990234375,692.989990234375,2996560
2021-03-11,693.1199951171875,702.5,690.0,700.6300048828125,700.6300048828125,3736732
2021-03-11,700.6889038085938,702.47998046875,695.7899780273438,699.5999755859375,699.5999755859375,3158899
2021-03-12,673.0,686.1799926757812,666.2639770507812,675.4639892578125,675.4639892578125,10520450
2021-03-12,675.25,683.8200073242188,673.0006103515625,681.35498046875,681.35498046875,4474070
2021-03-12,681.4514770507812,693.989990234375,679.5999755859375,692.7999877929688,692.7999877929688,4757666
2021-03-12,692.7813110351562,694.8800048828125,683.27001953125,688.0050048828125,688.0050048828125,4465671
2021-03-12,688.1699829101562,689.989990234375,681.2479858398438,684.125,684.125,2503042
2021-03-12,684.1898803710938,691.1950073242188,683.9099731445312,688.6500244140625,688.6500244140625,3148931
2021-03-12,688.6599731445312,694.7999877929688,687.8200073242188,693.8400268554688,693.8400268554688,2811526
2021-03-15,691.5349731445312,713.1799926757812,684.2139892578125,704.1635131835938,704.1635131835938,10066417
2021-03-15,703.9000244140625,708.780029296875,695.6099853515625,696.9627075195312,696.9627075195312,5118545
2021-03-15,696.6199951171875,704.0599975585938,692.0999755859375,701.4450073242188,701.4450073242188,3647572
2021-03-15,701.3900146484375,707.7993774414062,700.010009765625,701.6796875,701.6796875,2718421
2021-03-15,701.7131958007812,706.989990234375,701.3699951171875,705.5599975585938,705.5599975585938,2333683
2021-03-15,705.6900024414062,709.9000244140625,702.5800170898438,703.9299926757812,703.9299926757812,2669099
2021-03-15,703.8499755859375,708.3200073242188,703.2100830078125,707.9400024414062,707.9400024414062,1889627
